시도,지역구분,차종,전체,차종,전체,차종,전체,총합,시군구,위도,경도
전북,장수군,전기승용,15,전기승용,15,전기승용,15,58,전북 장수군,35.6472767,127.5211363
전북,임실군,전기승용,14,전기승용,14,전기승용,14,60,전북 임실군,35.6110549,127.2826599
전북,순창군,전기승용,13,전기승용,13,전기승용,13,38,전북 순창군,35.3744136,127.1375968
전북,고창군,전기승용,38,전기승용,38,전기승용,38,86,전북 고창군,35.4358216,126.7020806
전북,부안군,전기승용,28,전기승용,28,전기승용,28,78,전북 부안군,35.7315661,126.7334651
전남,목포시,전기승용,101,전기승용,101,전기승용,101,121,전남 목포시,34.8118351,126.3921664
전남,여수시,전기승용,238,전기승용,238,전기승용,238,388,전남 여수시,34.7603737,127.6622221
전남,순천시,전기승용,234,전기승용,234,전기승용,234,314,전남 순천시,34.950637,127.4872135
전남,나주시,전기승용,186,전기승용,186,전기승용,186,266,전남 나주시,35.0160601,126.7107572
전남,광양시,전기승용,161,전기승용,161,전기승용,161,221,전남 광양시,34.9406968,127.6958882
전남,담양군,전기승용,70,전기승용,70,전기승용,70,112,전남 담양군,35.3211394,126.9881673
전남,곡성군,전기승용,37,전기승용,37,전기승용,37,82,전남 곡성군,35.2819553,127.2919175
전남,구례군,전기승용,12,전기승용,12,전기승용,12,19,전남 구례군,35.2024947,127.4626534
전남,고흥군,전기승용,0,전기승용,0,전기승용,0,0,전남 고흥군,34.6112219,127.284978
전남,보성군,전기승용,34,전기승용,34,전기승용,34,34,전남 보성군,34.7714563,127.0798944
전남,화순군,전기승용,37,전기승용,37,전기승용,37,47,전남 화순군,35.0645029,126.9864799
전남,장흥군,전기승용,36,전기승용,36,전기승용,36,50,전남 장흥군,34.6816856,126.9069278
전남,강진군,전기승용,24,전기승용,24,전기승용,24,44,전남 강진군,34.6420774,126.767261
전남,해남군,전기승용,27,전기승용,27,전기승용,27,83,전남 해남군,34.5732516,126.5989274
전남,영암군,전기승용,92,전기승용,92,전기승용,92,121,전남 영암군,34.8001685,126.6967918
전남,무안군,전기승용,70,전기승용,70,전기승용,70,120,전남 무안군,34.9904542,126.4816856
